iter	Passed	Remaining
0	1	763
1	3	671
2	5	702
3	7	712
4	9	712
5	13	901
6	15	882
7	17	847
8	18	815
9	20	785
10	21	761
11	23	747
12	24	733
13	32	889
14	33	864
15	35	847
16	37	839
17	39	830
18	40	816
19	44	845
20	46	835
21	47	824
22	49	812
23	51	800
24	52	789
25	54	780
26	55	771
27	57	767
28	59	766
29	61	758
30	63	750
31	64	742
32	66	735
33	67	726
34	69	720
35	70	713
36	72	706
37	73	703
38	75	699
39	77	693
40	78	688
41	80	683
42	81	676
43	82	671
44	84	665
45	85	660
46	87	655
47	89	654
48	90	651
49	92	647
50	94	643
51	95	639
52	96	635
53	98	630
54	99	626
55	101	622
56	102	618
57	104	616
58	106	613
59	107	610
60	109	607
61	110	603
62	112	600
63	113	597
64	115	594
65	116	591
66	118	589
67	120	587
68	121	583
69	123	581
70	151	700
71	153	698
72	155	694
73	156	690
74	158	685
75	160	683
76	161	679
77	163	674
78	165	670
79	166	665
80	170	670
81	171	666
82	173	663
83	175	659
84	176	654
85	178	650
86	179	646
87	181	643
88	183	642
89	185	638
90	186	634
91	188	631
92	190	627
93	191	623
94	193	619
95	194	616
96	196	612
97	197	609
98	200	608
99	201	605
100	203	602
101	205	599
102	206	596
103	208	593
104	210	590
105	211	586
106	213	583
107	215	582
108	217	579
109	218	576
110	220	573
111	221	570
112	223	567
113	224	564
114	226	561
115	227	557
116	229	555
117	231	552
118	232	549
119	234	546
120	235	544
121	237	541
122	238	538
123	240	535
124	242	532
125	243	529
126	245	527
127	246	524
128	248	522
129	250	519
130	251	516
131	253	514
132	254	511
133	256	508
134	257	506
135	259	503
136	261	501
137	262	498
138	264	496
139	265	493
140	267	491
141	269	488
142	270	486
143	272	483
144	273	481
145	275	478
146	276	476
147	278	474
148	279	471
149	281	469
150	283	466
151	284	464
152	286	461
153	287	459
154	289	456
155	290	454
156	292	451
157	293	449
158	295	447
159	296	445
160	298	442
161	299	440
162	301	437
163	302	435
164	304	433
165	305	431
166	307	428
167	308	426
168	310	424
169	312	422
170	313	420
171	315	417
172	316	415
173	318	413
174	319	411
175	321	408
176	322	406
177	324	404
178	326	402
179	327	400
180	329	398
181	330	396
182	332	393
183	333	391
184	335	389
185	337	387
186	338	385
187	340	383
188	341	381
189	343	379
190	345	377
191	346	375
192	348	373
193	349	371
194	351	369
195	352	367
196	354	365
197	356	363
198	357	361
199	359	359
200	360	357
201	362	355
202	363	353
203	365	351
204	366	349
205	368	347
206	370	345
207	372	343
208	373	341
209	375	339
210	376	337
211	378	335
212	379	333
213	381	331
214	382	329
215	384	327
216	386	325
217	388	324
218	389	322
219	391	320
220	392	318
221	394	316
222	395	314
223	397	312
224	398	310
225	400	308
226	401	306
227	403	304
228	405	302
229	406	300
230	408	298
231	409	296
232	411	294
233	412	292
234	414	290
235	415	289
236	418	287
237	419	285
238	421	283
239	422	281
240	424	279
241	425	277
242	427	276
243	428	274
244	430	272
245	431	270
246	433	268
247	435	266
248	436	264
249	438	262
250	439	260
251	441	259
252	442	257
253	444	255
254	445	253
255	447	251
256	448	249
257	450	247
258	451	246
259	453	244
260	455	242
261	456	240
262	458	238
263	459	236
264	461	234
265	462	233
266	464	231
267	466	229
268	467	227
269	469	225
270	470	224
271	472	222
272	473	220
273	474	218
274	476	216
275	477	214
276	479	212
277	481	211
278	482	209
279	484	207
280	485	205
281	487	203
282	488	202
283	490	200
284	491	198
285	493	196
286	494	194
287	496	193
288	498	191
289	499	189
290	501	187
291	502	185
292	504	184
293	505	182
294	506	180
295	508	178
296	510	176
297	511	175
298	513	173
299	514	171
300	516	169
301	517	168
302	519	166
303	520	164
304	522	162
305	523	160
306	525	159
307	526	157
308	528	155
309	529	153
310	531	152
311	533	150
312	534	148
313	536	146
314	537	145
315	539	143
316	540	141
317	542	139
318	544	138
319	545	136
320	547	134
321	549	133
322	550	131
323	552	129
324	553	127
325	555	125
326	556	124
327	558	122
328	560	120
329	561	119
330	563	117
331	564	115
332	566	113
333	567	112
334	569	110
335	570	108
336	572	107
337	574	105
338	575	103
339	577	101
340	578	100
341	580	98
342	581	96
343	583	94
344	584	93
345	586	91
346	587	89
347	589	88
348	591	86
349	592	84
350	594	82
351	595	81
352	597	79
353	598	77
354	600	76
355	601	74
356	603	72
357	605	70
358	606	69
359	608	67
360	609	65
361	611	64
362	612	62
363	614	60
364	615	59
365	617	57
366	618	55
367	620	53
368	622	52
369	623	50
370	625	48
371	626	47
372	628	45
373	629	43
374	631	42
375	632	40
376	634	38
377	635	37
378	637	35
379	638	33
380	640	31
381	641	30
382	643	28
383	644	26
384	646	25
385	647	23
386	649	21
387	650	20
388	652	18
389	654	16
390	655	15
391	657	13
392	658	11
393	660	10
394	661	8
395	663	6
396	664	5
397	666	3
398	668	1
399	670	0
